name,id
"By Buchman, Dian Dincin",author_151
"By Reidy, Sue",author_152
"By Zemke, Deborah (ILT) and Brown, Rosemary Carleton",author_153
By Susan Polis Schutz,author_154
"By Hammer, Michael and Champy, James",author_155
"By Gaither, Gloria (COM)",author_156
"By Dashe, Alfred M.",author_157
"By Martin, Judy",author_158
"By Spence, Jonathan D.",author_159
"By Zacharias, Ellis M",author_160
"By Evans, James R.",author_161
"By Worsley, Frank Arthur",author_162
"By Horney, Karen (EDT)",author_163
By Text by Theodore Rousseau,author_164
By Geoffrey Tyack,author_165
"By Lederer, Richard",author_166
"By Stone, Howard and Stone, Marika",author_167
"By Sorel, Edward",author_168
"By Mark, David, Reed, Cartwright",author_169
"By Kennelly, Brendan, Donovan, Katie, and Jeffares, A. Norman",author_170
By NATAHANIEL CURRIER and JAMES MERRITT,author_171
"By O'Brian, Patrick",author_172
By Ebony,author_173
By Colleen Helgeson Nelson,author_174
"By Nicholson, Jack, Baratta, Tommy, Baratta, Marylou, and Nicholson, Jack (INT)",author_175
By Prima,author_176
"By Low, Betty-Bright and Hinsley, Jacqueline",author_177
"By McConkey, Dale D",author_178
"By Perricone, Nicholas",author_179
"By Donaldson, Stephanie",author_180
"By Lampert, Vera, Kemp, Ian, White, Eric White",author_181
"By Deighton, Len",author_182
"By Haynes, Melinda",author_183
"By Winthrop, Caroline",author_184
"By Tvedten, Benet",author_185
"By Rice, Helen Steiner",author_186
"By Gerson, Allan",author_187
"By Novello, Joseph",author_188
"By Bard, Harry",author_189
"By Moses-Hrushovski, Rena",author_190
"By Bernstein, Carl and Woodward, Bob",author_191
"By Lord, Graham",author_192
"By Byrne, Muriel St. Clare (EDT)",author_193
"By Jordan, Winthrop D.",author_194
"By Davenport, Zoe",author_195
"By Beers, V. Gilbert",author_196
"By Carey, Ken",author_197
"By Mill, John Stuart and Stillinger, Jack (EDT)",author_198
"By Landon, Harold R.",author_199
By Joseph F. Girzone,author_200
"By Smith, Martin Cruz",author_201
"By Lewis, J. P. Sinclair",author_202
"By Thomas, Elizabeth Marshall and Davidson, Andrew (ILT)",author_203
"By Rainey, Dennis and Rainey, Barbara",author_204
"By Tanter, Raymond",author_205
"By Dershowitz, Alan M.",author_206
"By Derouin, Claire",author_207
"By Piltz, Thomas",author_208
By Philip Macht,author_209
"By Grant, Gail",author_210
"By Cheng, Nien",author_211
"By Dunn, Teri",author_212
"By Clark, Mary Higgins",author_213
"By Scully, Vincent",author_214
"By Ravenel, Shannon",author_215
"By Northen, Rebecca Tyson",author_216
"By Chapelle, Howard Irving",author_217
"By Lang, Paul Henry",author_218
"By Snow, Edgar",author_219
"By Del Rey, Lester",author_220
"By briant, keith",author_221
"By Vailland, Roger",author_222
"By Morris, Desmond",author_223
"By McCartney, Linda",author_224
"By Block, Herbert",author_225
By,author_226
"By Rich, Frank",author_227
"By Hoeye, Michael",author_228
"By Truman, Margaret",author_229
"By Schirripa, Steve and Fleming, Charles",author_230
"By Elkin, Stanley",author_231
"By Bantock, Nick",author_232
"By Ballard, Patricia",author_233
"By Mosel, Ted",author_234
"By Helquist, Brett (ILT) and Howe, James",author_235
"By Adams, James Truslow",author_236
"By Amis, Martin",author_237
"By Hayford, Jack W.",author_238
By Kronschnab,author_239
"By Wood, H. Freeman",author_240
"By Pickard, Nancy",author_241
"By Jenkins, Peter",author_242
"By Tudor, Tasha (ILT)",author_243
"By Brown, Linda Beatrice",author_244
"By Feller, Richard T",author_245
"By Moser, Barry (ILT) and Hamilton, Virginia",author_246
"By Griffin, W. E. B.",author_247
"By Green, Julie",author_248
"By Boswell, Robert",author_249
"By Gorky, Maksim",author_250
By Terry Wise,author_251
"By Benjamin, Frank",author_252
"By Smith, Catharine P. (EDT)",author_253
"By Sarton, May",author_254
"By Jansz, Meg",author_255
"By Brodkey, Harold.",author_256
"By Hope, Alice",author_257
By Wallace Bruce Amsbary,author_258
"By Dickinson, Charles",author_259
"By Dobson, James C.",author_260
"By Brethwaite, Chris, Ahern, Lee Ann, and Bridgeman, Bill et al",author_261
"By Freeling, Nicolas",author_262
By Ralph W. Neighbour Jr.,author_263
"By Anderson, Melinda, Murray, Kathleen, and Arnold, Alli (ILT)",author_264
"By Provoost, Anne and Nieuwenhuizen, John",author_265
"By Colfer, Eoin",author_266
"By Baker, Nicholson",author_267
By Amy Bloom,author_268
"By Bell, Madison Smartt",author_269
"By Blanchard, Kenneth H.",author_270
"By Brady, Frank",author_271
"By RoAne, Susan",author_272
"By Rocheleau, Paul (ILT) and Homsen, Kathleen",author_273
"By Graham, Katharine",author_274
"By Clairmont, Patsy, Walsh, Sheila, Johnson, Barbara, Clairmont, Patsy (EDT), Mullins, Traci (EDT), Swindoll, Luci, Meberg, Marilyn, Wells, Thelma, and Women Of Faith (COR)",author_275
"By McDowell, Josh and Hostetler, Bob",author_276
"By Barry, Dave",author_277
